,mean,median,std,q25,q75,min,max,count
EfficiencyGap,0.06174546179600972,0.08543450324050693,0.08981774452410002,-0.01510083170344494,0.09829808105357757,-0.14890966277536158,0.2168576697632282,100.0
PartisanProp,0.8590932502451457,0.8575893350303331,0.016565566651997966,0.8496817898473203,0.8668255410547003,0.8259173767958895,0.9270682051313661,100.0
SeatsVotesDiff,0.15613663989874535,0.0950143250919368,0.09510268651149067,0.0950143250919368,0.1272656681743769,0.0950143250919368,0.34954566144069044,100.0
PolPopperAvg,0.18248311999524652,0.17992974311451915,0.02133613744147097,0.1681940416822272,0.19606196622573802,0.1383386064245622,0.24343252417814615,100.0
PolPopperMin,0.10497677178217878,0.10307295461295157,0.024388925240707286,0.08478490786184599,0.123751111271061,0.05459246463379146,0.1704299748205904,100.0
MinOppAvg,0.5880250915394756,0.5784738885035772,0.04776655960042057,0.5527626861137713,0.6124947192563202,0.5152260908807292,0.7170248622655564,100.0
MinOppMin,0.544271434754072,0.5174921317055057,0.059474720230157874,0.5073998256679353,0.5440225572494051,0.5000079804128746,0.7170248622655564,100.0
