EfficiencyGap,PartisanProp,SeatsVotesDiff,MinOppAvg,MinOppMin,PolPopperAvg,PolPopperMin,step
-0.026853687995438025,0.8295218881714869,0.1272656681743769,0.7166803213430796,0.6711925225183242,0.24316527524331485,0.1351027616444381,0
0.010867750669489425,0.8508004004064338,0.1272656681743769,0.6293531637599034,0.51976526750964,0.2268757540723055,0.15067285998733726,20
0.2054779343953192,0.8445592604309161,0.31729431835825034,0.6132256037419844,0.5016893027220641,0.24343252417814615,0.10946335735194979,40
0.10038854687814613,0.842333382933931,0.0950143250919368,0.6375752605645155,0.6375752605645155,0.20909933373906306,0.08676390686210184,60
0.20238474382199595,0.8287080369893632,0.31729431835825034,0.5947799727966661,0.5116667092032056,0.1513368783221365,0.05459246463379146,80
0.08954645581913175,0.8378610837952403,0.0950143250919368,0.6880168912761648,0.6880168912761648,0.1957255347291777,0.13225379065963636,100
-0.007930329025638177,0.8450178825056123,0.1272656681743769,0.5851129984928837,0.5104856301263127,0.21065682885857256,0.12168121015785957,120
0.0034863863691319114,0.8738688852173881,0.1272656681743769,0.5762183398945417,0.5103651277620667,0.2111012907155121,0.1436792016108714,140
0.04629114480804951,0.8670044137246468,0.0950143250919368,0.5291838062596983,0.5179655206491033,0.18532159562959483,0.1346450817803542,160
-0.014800161444231553,0.859007883188449,0.1272656681743769,0.559337530540538,0.5357268259930494,0.19094874422995856,0.11419978000764662,180
0.10305895763417183,0.8558878590926553,0.0950143250919368,0.5369660959752816,0.5124903978075134,0.1778697435816414,0.09850295896725188,200
0.0942604281411665,0.8614816056728317,0.0950143250919368,0.532978899928208,0.5125176339358946,0.20132489515760935,0.11164266316203772,220
0.1812994872002316,0.8646433851661035,0.31729431835825034,0.5391648134773623,0.5110056447036089,0.16256100982051114,0.07863547963295335,240
0.09820657435445702,0.8547212490506562,0.0950143250919368,0.6366152492526405,0.6366152492526405,0.1674082851333325,0.0772520543370229,260
0.09994735251686063,0.8566120391245113,0.0950143250919368,0.5788066657797402,0.5159613625347607,0.20764464767725582,0.10001461130719508,280
0.10326136667915434,0.8472481204864584,0.0950143250919368,0.5953731425221538,0.5251501176961888,0.19291594781108912,0.08989280068804956,300
0.09561072740769408,0.865589852311039,0.0950143250919368,0.5907855101915594,0.5004920709652936,0.1788554494605614,0.07496932705264729,320
0.06283465037573217,0.8605218211767044,0.0950143250919368,0.5430229420591255,0.5430229420591255,0.20455029624845772,0.12110385606373675,340
0.1839871049891641,0.8736818575305246,0.31729431835825034,0.5781411112274142,0.5054048788868419,0.20801153509002218,0.07565708079630735,360
-0.017057452471609152,0.8595400563920604,0.1272656681743769,0.5414731369092732,0.5076593883043464,0.21080305107221742,0.13408558495114276,380
0.08534084566227304,0.851289134319025,0.0950143250919368,0.5967862108954962,0.501387211653262,0.19166772021713419,0.12101727620714246,400
0.07303540211175576,0.8628686288108828,0.0950143250919368,0.5524744546215418,0.5008047310701051,0.19707126071541897,0.09301803296432921,420
0.21248300805500456,0.8821822577770038,0.31729431835825034,0.5471937823826238,0.5315464538473121,0.14755709809649029,0.09331078386924069,440
0.2057112859117569,0.8582628328555604,0.31729431835825034,0.5384156491941315,0.522794293137445,0.17204364324796917,0.10161363252902074,460
0.09793307309457015,0.8468100178795692,0.0950143250919368,0.5591186322812073,0.5126258377276667,0.16833879763005535,0.05599965993845114,480
0.10013104514008488,0.8667659168313848,0.0950143250919368,0.5560433080161129,0.5210913699939961,0.17159586577025424,0.07319459249869427,500
0.18163517528079914,0.8758743851797521,0.31729431835825034,0.5832617970039597,0.5077338477598017,0.18049198765113575,0.0811183877644987,520
0.19679109967732286,0.86317489571523,0.31729431835825034,0.6026864226362969,0.6026864226362969,0.21091591960937314,0.1217632537190228,540
0.09786998064057859,0.8804230383226652,0.0950143250919368,0.6911686938127974,0.6911686938127974,0.1793136174822021,0.1168678157467844,560
-0.014535716517453516,0.8565003898881807,0.1272656681743769,0.7170248622655564,0.7170248622655564,0.18793226472493932,0.11639631580828069,580
-0.022668756465844493,0.8464132561662265,0.1272656681743769,0.6274949581013027,0.5055505122111268,0.17669302814588428,0.10622964686533465,600
-0.14041829391363095,0.8641165013882133,0.34954566144069044,0.5905432890465281,0.5136425592213882,0.15874128664817228,0.08199849780828858,620
0.06647378689663312,0.871292636556856,0.0950143250919368,0.5811385058202867,0.5217502511175365,0.19234997597628842,0.06440379643946804,640
0.07969180694675088,0.8684383156874528,0.0950143250919368,0.5602038160792135,0.5166065817653791,0.16380745040372977,0.07763967772490755,660
0.08973482754779555,0.8452158673071258,0.0950143250919368,0.551354413831949,0.5120919090309637,0.19790557429491198,0.08835782348125487,680
-0.03559908700087152,0.8641693986224506,0.1272656681743769,0.5781398074358834,0.5151838221530638,0.17972468077699047,0.09562830641808802,700
-0.03621506859115758,0.8560149998448185,0.1272656681743769,0.562526312188219,0.5000079804128746,0.1833081808240006,0.10834048404369058,720
