DISTRICT,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0010001,CompDemVot,CompRepVot,CompDemShare,ptP0040002,ptP0040003,ptP0040004,ptP0040005,ptP0040006,ptP0040007,ptP0040008,ptP0040009
1,828277,137850,690301,663592,579638,29661,12982,36180,898,1023886,541514,531427,0.5047006312555863,16.642982963428903,83.3418047344065,80.1171588731789,69.9811777943852,3.5810483690842556,1.5673500531826912,4.368103907267738,0.10841783606209035
2,857795,139282,718342,690626,527237,22404,117774,18238,1224,1092712,493301,640903,0.43493145853832293,16.237212853887,83.74285231319838,80.51177728944562,61.46421930647765,2.611812845726543,13.729853869514278,2.1261490216193843,0.14269143559941477
3,714056,385611,328349,310749,198039,68419,16137,22956,1551,988827,396838,171177,0.6986400007042067,54.00290733499894,45.98364834130656,43.51885566398154,27.734379376407453,9.58174148806256,2.259906786022385,3.214873903447349,0.21720985468926807
4,739705,173882,565724,539723,434624,38391,18598,42096,2326,938859,441647,360706,0.5504397690293424,23.506938576865103,76.4796777093571,72.9646277908085,58.75639613089002,5.190041976193212,2.5142455438316627,5.690917325149891,0.31444967926403095
5,697403,115449,581854,558068,479330,25381,8602,40183,1507,939936,428910,570715,0.4290709015880955,16.554130108416512,83.43153097993556,80.02087745535938,68.73070520201375,3.639359165360631,1.233433179954775,5.761804867486948,0.21608739853427647
6,806291,197753,608385,580634,512847,28119,10649,23291,1582,1003421,537928,489236,0.5237021546705297,24.52625664927427,75.45476757150954,72.01295810073535,63.60569571035768,3.48745056065366,1.3207390383868851,2.888659305387261,0.19620707660137593
7,882468,427090,455221,432793,347995,36992,20839,21335,1601,1158253,519418,352743,0.5955528853044335,48.39722233554078,51.58498665107404,49.04347806379381,39.43429110177366,4.191880045508732,2.361445400853062,2.4176514049234648,0.1814230091062792
8,752379,151778,600504,576391,500606,32372,7461,31435,1015,960573,403476,509823,0.44177865080329665,20.173077664315457,79.8140298971662,76.60912917558836,66.53641316411012,4.302618759960073,0.9916544720147691,4.178080462107528,0.1349054133621486
9,791698,223486,568107,541497,474147,33150,9933,19210,1541,1029913,378274,607927,0.38356683880872156,28.228693264350802,71.75804410267551,68.39691397477321,59.88988225308135,4.187202695977507,1.2546450793105453,2.4264302802331192,0.1946449277375969
