DISTRICT,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0010001,CompDemVot,CompRepVot,CompDemShare,ptP0040002,ptP0040003,ptP0040004,ptP0040005,ptP0040006,ptP0040007,ptP0040008,ptP0040009
01,194081.0,7990.0,186091.0,178171.0,132158.0,36486.0,321.0,8211.0,180.0,250406.0,476964.0,415909.0,0.5341901927821762,4.11683781513904,95.88316218486096,91.80239178487332,68.09424930827849,18.79936727448849,0.1653948609085897,4.230707797259907,0.09274478181790077
02,267979.0,3264.0,264715.0,255035.0,247452.0,4794.0,867.0,1233.0,55.0,347666.0,230077.0,585911.0,0.28196125433217156,1.2180058885211156,98.7819941114789,95.1697707656197,92.34007142350707,1.7889461487653886,0.3235328141384213,0.46011068031450225,0.020523996283290855
03,209083.0,12001.0,197082.0,187700.0,121077.0,51790.0,436.0,12998.0,82.0,268413.0,545758.0,221970.0,0.7108741637663339,5.739825810802408,94.26017418919758,89.77296097721957,57.90858175939698,24.770067389505606,0.20852962699023833,6.216669934906234,0.03921887480091638
04,327064.0,6731.0,320333.0,309519.0,286948.0,12996.0,596.0,7897.0,146.0,434061.0,292771.0,601318.0,0.32745174138145083,2.058006995572732,97.94199300442726,94.63560648680381,87.73451067680944,3.973534231832302,0.1822273316537436,2.4145121444121025,0.044639581244037864
05,326845.0,20085.0,306760.0,296962.0,282429.0,10207.0,584.0,2767.0,209.0,424139.0,316108.0,540559.0,0.36899752179084755,6.145114656794505,93.8548853432055,90.85713411555936,86.41068396334653,3.1228869953647753,0.17867796662026345,0.8465786534901866,0.06394468325964907
06,332009.0,9247.0,322762.0,310732.0,284277.0,23329.0,709.0,1486.0,92.0,421641.0,292311.0,531818.0,0.3546908311684214,2.785165462382044,97.21483453761796,93.59143878629797,85.62328129659136,7.0266167483411595,0.21354842790406284,0.44757822830104,0.027710092196295884
07,223281.0,8260.0,215021.0,207932.0,193644.0,7699.0,288.0,5571.0,57.0,288184.0,435253.0,490487.0,0.47016764966405256,3.6993743309999507,96.30062566900006,93.1257025900099,86.72659115643516,3.448121425468356,0.12898544882905397,2.4950622757870127,0.025528370080750266
08,204715.0,10294.0,194421.0,186942.0,157195.0,23373.0,474.0,4799.0,286.0,270863.0,331521.0,495503.0,0.40086019269090134,5.028454192413843,94.97154580758615,91.31817404684561,76.78724079818284,11.417336296802873,0.23154141123024694,2.3442346677087658,0.13970642112204773
09,286205.0,19046.0,267159.0,256761.0,220916.0,30870.0,625.0,3318.0,79.0,371285.0,361090.0,390225.0,0.4806106626381744,6.654670603238936,93.34532939676107,89.71226917768732,77.18802955923202,10.785975087786728,0.21837494103876592,1.1593088869866006,0.02760259254730001
10,241583.0,8501.0,233082.0,222905.0,176972.0,38839.0,545.0,5337.0,129.0,311890.0,373740.0,416589.0,0.47289166916562597,3.5188734306635814,96.48112656933641,92.26849571368845,73.25515454315908,16.076876270267363,0.22559534404324807,2.2091786259794772,0.053397797030420184
11,227064.0,17478.0,209586.0,201971.0,111615.0,82262.0,435.0,6446.0,54.0,289022.0,535447.0,163377.0,0.7662115210696828,7.69738928231688,92.30261071768312,88.948930697953,49.15574463587359,36.22855230243456,0.1915759433463693,2.8388471972659692,0.023781841242997568
12,318330.0,5624.0,312706.0,301332.0,286138.0,9172.0,747.0,4224.0,65.0,422837.0,311515.0,559662.0,0.3575794585945221,1.7667200703672288,98.23327992963277,94.6602582225992,89.88722394998901,2.8812867150441366,0.23466214305908964,1.3269248892658563,0.020419061979706596
13,268474.0,6796.0,261678.0,249864.0,206367.0,34605.0,575.0,7154.0,83.0,344518.0,442952.0,437126.0,0.5033099338922232,2.5313438172783957,97.4686561827216,93.06823007069586,76.86666120369198,12.889516303254691,0.21417343951369594,2.664690063097358,0.030915470399368282
14,233035.0,6462.0,226573.0,217425.0,200828.0,13085.0,314.0,2527.0,41.0,295677.0,372509.0,471256.0,0.4414842995383786,2.7729740167785955,97.22702598322141,93.30143540669856,86.17932928530048,5.615036367927565,0.13474370802669125,1.084386465552385,0.01759392365953612
15,286395.0,13860.0,272535.0,260744.0,221010.0,26908.0,642.0,10938.0,125.0,375468.0,408412.0,454484.0,0.4733038512172962,4.839469962813596,95.1605300371864,91.043488887725,77.16964332477872,9.395415422755285,0.2241659246844393,3.8192007542031106,0.0436460133731385
